sample_id,source_subset,test_idx,text,length,true_label,true_name,lr_pred,bilstm_pred,phobert_pred,phobert_confidence,sarcasm,code_switching,teen_code,implicit_contextual,annotation_doubt,very_short,long_context,no_toxic_vocab,notes
0,D_all_wrong,3833,Tại sao những đứa như này lại tồn tại trong khi những người tốt thì lại bị tan nạn & mất mạng vì lũ lụt mà méo do thiên tai gây ra nhể ???,27,1,OFFENSIVE,2,2,2,0.9793,0,0,0,1,1,0,0,1,
1,D_all_wrong,6436,Đậu má thầy ok chưa ?,5,2,HATE,0,0,0,0.9965,0,0,1,0,1,0,0,0,"""đậu má"" = lái của ""đm"", model miss obfuscation"
2,D_all_wrong,5886,Dành cho lũ quan ngại,4,2,HATE,0,1,0,0.9736,0,0,0,1,1,0,0,1,"""lũ"" miệt thị tập thể, không chửi tục; HATE quá nặng"
3,D_all_wrong,1888,Giống loài Loan luân la vây,6,2,HATE,0,1,0,0.5139,0,0,0,1,1,0,0,1,
4,D_all_wrong,6509,Phạm Văn Lộc vãi lol lộc,4,2,HATE,1,1,1,0.9819,0,0,1,0,0,0,0,0,
5,D_all_wrong,1601,T cố gắng nghe hết nhưng đâu tai thật sự,7,1,OFFENSIVE,0,0,0,0.9963,0,0,0,0,0,0,0,1,"phàn nàn âm thanh, không toxic; label sai"
6,D_all_wrong,2617,Biết là Nhật cũng có người này người kia nhưng chú bao nhiêu tuổi rồi mà hành động ấu trĩ như thế 😖😖😖,19,2,HATE,0,0,0,0.8828,0,0,0,0,1,0,0,1,
7,D_all_wrong,6636,"Đưa từ vụ bán độ lịch sử 4 cái tàu choán nước hơn nghìn tấn,ngắm bắn bằng radar,F5 thì đậu chật kín đà nẵng,hải quân hạng 6,không quân hạng 4 thế giới,hùng hổ ra trận bắn lẫn nhau rồi bị mấy cái tầu cởi chuồng từ ww2 hiếp dâm chết :v",47,0,CLEAN,2,2,2,0.9823,0,0,0,0,0,0,1,1,
8,D_all_wrong,4098,Quan chức lương thì cũng như ta thôi. Nhưng ng nào ng nấy khi lên làm quan toàn nhà lầu xe hơi. Lạ.,18,2,HATE,1,1,1,0.956,1,0,0,0,1,0,0,1,
9,D_all_wrong,3176,"Úi  trời. Tiên tri Trần  dần  HÙI  xưa CHẮC  ở  gần  kho đạn  long bình  hôn ma nỗ  dữ  QUÁ  vậy dẫu sao cũng cảm  ơn vũ hoang Lânđã  mời VÀ  phỏng vấn  trần  dần,hài  ui quá!.tĩnh cả  ngủ uôn.hoàng  lân khôn bo MẸ. Toàn  khích cho dân6nỗ  chi mọi  người  vui kkk",66,0,CLEAN,2,2,2,0.9569,0,0,0,0,0,0,1,1,
10,D_all_wrong,6559,Quen lối sống hùa bầy đàng. Mỗi người Viet chúng ta trước khi làm việc gì hãy dùng cái đầu để suy nghĩ.,19,2,HATE,0,0,0,0.8471,1,0,0,0,1,0,0,1,
11,D_all_wrong,4521,đíu tin được luôn =)))))))),4,0,CLEAN,1,1,1,0.9924,0,0,1,0,1,1,0,0,
12,D_all_wrong,3635,Bảo vệ thì ăn chia rồi. Còn lãnh đạo trường thì đang cố giấu!,11,2,HATE,0,0,0,0.9943,0,0,0,1,1,0,0,1,
13,D_all_wrong,960,Công nghệ xây cầu mới của đảng và nhà nước ta đấy! Thế giới chưa nước nào có đâu,16,1,OFFENSIVE,2,2,0,0.9804,0,0,0,0,1,0,0,1,
14,D_all_wrong,112,Nghĩ mà chán :)),3,0,CLEAN,1,1,1,0.5279,0,0,0,1,1,1,0,1,
15,D_all_wrong,4077,Hương Thảo vkl,2,2,HATE,0,0,0,0.9932,0,0,1,1,1,1,0,0,
16,D_all_wrong,886,Lol này cây vô đầu nó mới sợ :),7,0,CLEAN,2,2,2,0.9906,0,0,1,1,1,0,0,0,
17,D_all_wrong,360,90tr dân Việt Nam đang vả nhung nè,7,2,HATE,0,0,0,0.6819,0,0,0,1,1,0,0,0,
18,D_all_wrong,2372,Người j đâu mà chưởi người Việt NAM MÌNH trưởi người ta quá trời ĐÚNG LÀ BÃ CHƯA THẤY QUAN TÀI CHƯA ĐỔ LỆ,21,2,HATE,0,0,0,0.9886,0,0,0,1,1,0,0,1,
19,D_all_wrong,2505,Giàu thường hay quên cách ăn mặc á :)),7,1,OFFENSIVE,0,0,0,0.914,1,0,0,1,0,0,0,1,
20,D_all_wrong,2893,Có những đứa còn chửi kinh hơn cả page này nữa 😒 vkl xúc phạm tôn giáo còn cãi cố,15,0,CLEAN,2,2,2,0.9897,0,0,1,1,1,0,0,0,
21,D_all_wrong,2689,"nhìn mặt Admin thấy ghét, không ưa! :D :D :D",10,0,CLEAN,2,2,2,0.9651,0,0,0,1,1,0,0,0,
22,D_all_wrong,3534,Nhạc bắt tay vai lon,4,0,CLEAN,1,1,1,0.9917,0,0,0,0,1,1,0,0,
23,D_all_wrong,2683,Đi làm osin mà xạo lol ghê,7,2,HATE,1,1,1,0.9924,0,0,1,1,1,0,0,0,
24,D_all_wrong,1545,"Lên núi làm hảo hán, cướp của quan tham chia cho dân nghèo. Về đầu thú là tội chết.",15,1,OFFENSIVE,2,0,2,0.5343,0,0,0,1,1,0,0,1,
25,D_all_wrong,3209,Vải lờ thầy😂😂😂,3,0,CLEAN,2,2,2,0.9901,0,0,1,0,1,1,0,0,
26,D_all_wrong,868,"Một câu chuyện cổ tích rất hay được sáng tác bởi công an Việt Nam. Giỏi lắm các chiến sĩ vì nước quên dân, vì thân phục vụ.",21,2,HATE,0,0,0,0.9911,0,0,0,1,1,0,0,1,
27,D_all_wrong,4895,Sáng mắt chưa Nhung :),3,2,HATE,0,0,0,0.991,0,0,0,1,1,1,0,1,
28,D_all_wrong,4339,Nát bét bè bẹt 🤣,4,0,CLEAN,1,1,1,0.9918,0,0,0,1,1,0,0,1,
29,D_all_wrong,4071,Biết vậy bắn chết ông này trước cho ông hỏi tiên chi để khỏi có corona 👾,15,2,HATE,0,0,0,0.901,0,0,0,1,1,0,0,1,
30,A_LRright_PhoBERTwrong,3751,Trân Dân.mày vê VN tao sē Công Đâu Mày....Nhơ lơi tao nói...Thương bé lăm,14,2,HATE,2,2,0,0.992,0,0,0,1,0,0,0,1,
31,A_LRright_PhoBERTwrong,4944,"Đồng chí cục trưởng chuẩn bị ăn tối món ""chao xả gich"" với đồng chí cấp phó",14,2,HATE,2,0,0,0.9934,0,0,0,1,1,0,0,1,
32,A_LRright_PhoBERTwrong,2325,duanhuaditron là clgt :v,4,1,OFFENSIVE,1,0,2,0.9884,0,0,1,1,1,0,0,0,
33,A_LRright_PhoBERTwrong,5232,K thể chấp nhận đc....,3,0,CLEAN,0,0,1,0.9693,0,0,0,0,0,1,0,1,
34,A_LRright_PhoBERTwrong,1066,Ôi pha đonate :)),3,0,CLEAN,0,0,1,0.9365,0,0,0,0,0,1,0,1,
35,A_LRright_PhoBERTwrong,155,khi bạn muốn tích đức cho đời nhưng nghiệp quá nặng tại chúng rủa quá nên nghiệp:v,15,0,CLEAN,0,2,2,0.8356,0,0,0,1,1,0,0,1,
36,A_LRright_PhoBERTwrong,2542,M biết ASS là gì kh ?,6,0,CLEAN,0,0,1,0.8754,0,0,0,1,0,0,0,1,
37,A_LRright_PhoBERTwrong,4837,"Ăn đc của doanh nghiệp mà dễ á :v sếp nào mà chả là người gỗ mũi dài =]] quy trình chỉ nằm trên biển hiệu :v vi phạm thì ko xử lý ! Làm thuê , quyền hạn ít thì phải chịu !",33,0,CLEAN,0,0,2,0.9344,0,0,0,1,1,0,1,1,
38,A_LRright_PhoBERTwrong,6031,Nhiệt điện. Thì tro lò thải ra. Luyện thép thì sĩ lò thải ra. Khi các ông ký với nhau là đổ đi đâu hay mang về đất nước họ xử lý. Hay là đổ trên đất nước Việt Nam! Giờ biết kêu ai.,35,0,CLEAN,0,2,2,0.7803,0,0,0,1,1,0,1,1,
39,A_LRright_PhoBERTwrong,685,@Chiến trần Tao lao.,3,1,OFFENSIVE,1,1,0,0.9956,0,0,0,1,1,1,0,1,
40,A_LRright_PhoBERTwrong,76,Theo trung cộng đi rồi đến lúc ko còn lợi dụng đc bà sẽ thấy cảnh. Hãy nhớ câu đừng nghe những gì cs nói mà..😂😂😂,24,2,HATE,2,0,0,0.8117,0,0,0,1,1,0,0,1,
41,A_LRright_PhoBERTwrong,1945,Thi đéo làm được bài mà nhìn mặt lão Độ đéo nhịn cười được. Ae ai như t k,17,0,CLEAN,0,1,1,0.7178,0,0,0,1,1,0,0,0,
42,A_LRright_PhoBERTwrong,841,Trung lô đề :))),2,0,CLEAN,0,1,2,0.5555,0,0,0,1,0,1,0,1,
43,A_LRright_PhoBERTwrong,3648,Ra đường nhớ cằm theo não,6,2,HATE,2,1,0,0.9498,0,0,0,1,1,0,0,1,
44,A_LRright_PhoBERTwrong,2531,@Kỹ Năng Sinh Tồn ngáo đá hả bạn có làm j bn chưa mà chửi người ta,14,2,HATE,2,2,0,0.4666,0,0,0,1,1,0,0,1,
45,A_LRright_PhoBERTwrong,866,Doi song nay chet mai.can that voi loi noi se tot hon.ji hay ngheo tu minh bt khoe lay ji c d c oi,22,0,CLEAN,0,0,1,0.8542,0,0,0,0,0,0,0,0,
46,A_LRright_PhoBERTwrong,2668,Giúp nguoi bi nan cap thoi . Phai co trai tim nhan ai. .ai cung co dong co lam nguoi tốt . Ung ho liên . Ngưỡng mo,17,0,CLEAN,0,2,1,0.4583,0,0,0,1,0,0,0,1,
47,A_LRright_PhoBERTwrong,4122,dm éo học thì làm cc gì biết chữ,12,1,OFFENSIVE,1,2,2,0.9904,0,0,1,0,1,0,0,0,
48,A_LRright_PhoBERTwrong,6342,Trend như con cật cũng đi đú,7,1,OFFENSIVE,1,1,0,0.9642,0,0,1,1,1,0,0,0,
49,A_LRright_PhoBERTwrong,6252,Dương Quỳnh anh Trung lờ đờ,4,0,CLEAN,0,0,2,0.5461,0,0,0,1,0,0,0,1,
50,B_PhoBERTright_LRwrong,6479,"Phạm Văn Đồng nước ngoài nó cho về nhà tự cách ly, về đây chữa ngon vl",13,0,CLEAN,1,0,0,0.5497,0,0,1,1,1,0,0,0,
51,B_PhoBERTright_LRwrong,988,Cho ăn miếng coi,3,0,CLEAN,1,0,0,0.9958,0,0,0,1,0,1,0,1,
52,B_PhoBERTright_LRwrong,2851,"mọi con vật đều bình đẳng, nhưng có một số con bình đăng hơn các con khác ;)",15,0,CLEAN,2,2,0,0.8568,1,0,0,1,1,0,0,0,
53,B_PhoBERTright_LRwrong,2260,Vu hoang lan dua vo hai len kenh duoc cong dong xem dong qua mong sao ong dung mac benh de dien hai cho cong dong mang xem cho vui trong thoi dich benh nay,30,0,CLEAN,1,0,0,0.8115,0,0,0,1,1,0,0,1,
54,B_PhoBERTright_LRwrong,2903,Đẹp,2,0,CLEAN,1,1,0,0.567,0,0,0,1,0,1,0,1,
55,B_PhoBERTright_LRwrong,5781,khịa cực mạnh,3,0,CLEAN,1,0,0,0.9311,0,0,0,1,0,1,0,1,
56,B_PhoBERTright_LRwrong,2046,ở nhà tránh con di chùng :v,6,0,CLEAN,1,0,0,0.9952,0,0,0,1,0,0,0,1,
57,B_PhoBERTright_LRwrong,670,Dan lm kho dan.do ngu,6,1,OFFENSIVE,2,0,1,0.9883,0,0,0,1,0,0,0,0,
58,B_PhoBERTright_LRwrong,4193,Cô minh hiếu mà hết thời là mày cũng hết đường làm ăn luôn nha con bóng đồng tháp bán dồ giả,19,2,HATE,0,2,2,0.9895,0,0,0,1,1,0,0,1,
59,B_PhoBERTright_LRwrong,108,Gấu Trắng n,3,0,CLEAN,1,0,0,0.9951,0,0,0,1,0,1,0,1,
60,B_PhoBERTright_LRwrong,1344,"vietnam gioi thieu bo phim * benh nhan nguoi anh * bien dao dien, corona, dien vien UK, truong quay. Vietnam...",18,0,CLEAN,2,2,0,0.93,0,0,0,1,0,0,0,1,
61,B_PhoBERTright_LRwrong,3191,Để cho thằng làm cho EVN lên tiếng nhé,8,0,CLEAN,2,2,0,0.9929,0,0,0,1,0,0,0,1,
62,B_PhoBERTright_LRwrong,4657,cười quài kéi dụ thấy cl xỉu ba ngày xỉu nữa =))))),10,0,CLEAN,1,0,0,0.9938,0,0,1,1,1,0,0,0,
63,B_PhoBERTright_LRwrong,2412,liên quan vãi cả l bạn ạ :),6,0,CLEAN,1,1,0,0.8942,0,0,0,1,1,0,0,0,
64,B_PhoBERTright_LRwrong,1334,Quy khung. Binh quan tuong. Ao giac.  Ba dien. Than kinh.,9,2,HATE,1,2,2,0.8295,0,0,0,1,1,0,0,1,
65,B_PhoBERTright_LRwrong,5486,Chúc mừng ngài đã trở lại. Sợ ngài chết mất xác ko ai diễn hề cho chúng con. Tạ ơn chúa đã bảo vệ ngài.,20,0,CLEAN,2,2,0,0.9905,0,0,0,1,1,0,0,1,
66,B_PhoBERTright_LRwrong,6106,"Ủa thằng cuối là thằng đệm đàn mà, ca sĩ gì bay",11,0,CLEAN,2,2,0,0.9664,0,0,0,1,0,0,0,1,
67,B_PhoBERTright_LRwrong,387,Ráng sống diễn hài cho mấy con coi nhé bác TD,10,0,CLEAN,2,2,0,0.9797,0,0,0,1,0,0,0,1,
68,B_PhoBERTright_LRwrong,1807,". Tìm hiểu dùm mình nhen bạn, ko phải cứ tây ăn cứt thì ta cũng ăn cứt nhen !",14,2,HATE,0,0,2,0.8258,0,0,0,1,0,0,0,0,
69,B_PhoBERTright_LRwrong,6516,Giống vl,2,0,CLEAN,1,1,0,0.9311,0,0,1,1,1,1,0,0,
70,high_conf_wrong,2742,chịchhhhh,1,0,CLEAN,1,1,1,0.9919,0,0,0,1,1,1,0,0,
71,high_conf_wrong,725,Lê Hoàng Trần :V vãi cả lý luận và đổ thừa !VN ta có đảng quang vinh lãnh đạo mà ko khắc phục được mấy cái cỏn con vậy à ?,22,0,CLEAN,2,2,2,0.9873,0,0,0,1,1,0,0,0,
72,high_conf_wrong,713,Quê tao mà giơ cánh hoa ntn ra đường là đéo còn đường về quê mẹ,16,0,CLEAN,1,1,1,0.9601,0,0,0,1,1,0,0,0,
73,high_conf_wrong,1757,"hi sinh thầm lặng cho mấy thằng sếp của nó đứng đằng xa, nó cũng có phần chia chát trong đó rồi còn gì bạn ! Tôi muốn cứ 3km lại có 1 trạm bắn tốc độ công khai, hoặc gắn camera. Như thế dân sẽ sợ và tự giác chấp hành hơn. Còn cái thể loại núp lùm ăn tiền thế này ai khen nổi mà đăng bài chia sẻ với cả động viên !",90,1,OFFENSIVE,2,2,2,0.9881,1,0,0,0,1,0,1,1,
74,high_conf_wrong,2960,Chào thầy ba girl😌nứng vcl,6,2,HATE,1,1,1,0.9905,0,0,1,1,1,0,0,0,
75,high_conf_wrong,2548,xạo thặc,2,0,CLEAN,1,1,1,0.8453,0,0,0,1,0,1,0,1,
76,high_conf_wrong,2176,Thanglon nào cũng từng như thế cacban ạ 😌😌😌,7,1,OFFENSIVE,0,0,2,0.8833,0,0,0,1,1,0,0,0,
77,high_conf_wrong,2988,Ờ face dành cho con người k dành cho thú vật ok,10,1,OFFENSIVE,0,0,0,0.9173,0,0,0,1,1,0,0,1,
78,high_conf_wrong,2627,về 572 gia định mà đòi đất ....kkkkkk..già mà ngu vl,11,2,HATE,2,1,1,0.9872,0,0,1,1,0,0,0,0,
79,high_conf_wrong,1002,Ng Tuấn Châu uầy gắt vđ,5,1,OFFENSIVE,0,0,0,0.9941,0,0,1,1,1,0,0,0,
80,high_conf_wrong,1375,Da bao dung nghe cs noi !!!,5,2,HATE,0,0,0,0.9965,0,0,0,1,1,0,0,1,
81,high_conf_wrong,1424,"Nhân loại giờ đây giảm bớt ác mộng rồi, chỉ còn góc châu Á còn ác mộng thôi.",13,2,HATE,0,0,0,0.9899,0,0,0,0,1,0,0,1,
82,high_conf_wrong,3584,Trường t không được mặc áo dài cm ạ:))),8,0,CLEAN,0,0,1,0.9588,0,0,0,1,0,0,0,1,
83,high_conf_wrong,3902,Đm crush :),2,2,HATE,1,1,1,0.9913,0,0,1,1,0,1,0,0,
84,high_conf_wrong,1971,Đm! Đen méo chơi nữa,5,0,CLEAN,1,1,1,0.9927,0,0,1,1,1,0,0,0,
85,high_conf_wrong,987,"thì đã nói rồi. thế giới người ta có mỏ bạc, mỏ vàng mỏ kim cương. còn việt nam có mỏ lồn là hay :3",22,2,HATE,2,2,1,0.9565,0,0,0,1,1,0,0,0,
86,high_conf_wrong,1096,Mom cho ko moc dc nga Voi,7,1,OFFENSIVE,1,1,0,0.9782,0,0,0,0,0,0,0,0,
87,high_conf_wrong,2077,Cứ như thế này thì duyệt mẹ đi cho nhanh 😀,9,0,CLEAN,1,1,1,0.9903,0,0,0,1,1,0,0,1,
88,high_conf_wrong,1702,Việt Nam thì nó lại là lồn các cậu ạ 🤦🤦,9,1,OFFENSIVE,2,1,2,0.9665,0,0,0,1,1,0,0,0,
89,high_conf_wrong,1076,Xe hơi say cm 😂,3,1,OFFENSIVE,1,1,0,0.9961,0,0,0,1,1,1,0,1,
90,off_long,4874,Các hãng nổi tiếng calvin gucci chanel đều bên nước ngoài mắc gì đem về vn cho nhỏ đó tri ân tri nghĩa....có ăn qq quá ai nói Gì cũng tin biết cuộc đời sài chai nước hoa chính hãng chưa nữa,35,1,OFFENSIVE,1,0,0,0.9959,0,0,0,1,1,0,1,1,
91,off_long,5378,":)) nó chửi cho đúng :)) chứ k phải là nó chửi sai.nó chửi cho khôn ra chứ nó chửi k phải là để cho tụt hậu,cho đi xuống...tuy văn phong Thô- Tục nhưng nó Thật...nên đéo thể cãi được ,thấy xấu hổ thì phải thay đổi",42,1,OFFENSIVE,2,2,1,0.8926,0,0,0,1,1,0,1,1,
92,off_long,485,"Có ai tự nhiên lên phường , rồi đi tự tử trên ấy không ? Giờ thằng nào con nào , muốn tự tự thì cứ việc lên phường cho nó gọn . Đỡ bị mất tài sản , với lại người nhà cũng dễ tìm nhá . chứ đừng có ra cầu rồi nhảy nghe hôn .",44,1,OFFENSIVE,0,2,0,0.9912,0,0,0,0,1,0,1,1,
93,off_long,6129,"m lảm nhảm cái đéo gì thế, sai lè còn cãi, ở Việt Nam! cái hay nhất nhà chối tội đổ lỗi thanh minh, từ thằng quan tới thằng dân, sai lè thế kia mà còn lái đi đâu đâu để cãi, chúng mày vác cái đth sương chúng m, còn dân Việt Nam! bên đó với nhưng ng sau này sẽ qua thì sao?",56,1,OFFENSIVE,2,2,2,0.9904,0,0,0,1,1,0,1,0,
94,off_long,2781,Lê Luân đừng so sánh lương. Mà hãy so sánh quyền lực và lợi ích. Làm cty tư nhân là người lao động không có quyền lực . Còn làm nhà nước là con cháu các quan chức có quyền lực và nắm trong tay nguồn lực của địa phương vả quốc gia. Vì vậy một người hưởng lương do công sức lao động của mình và một người hưởng lợi ích từ toàn bộ dân địa phương hoặc quốc gia gom lại thì tiền của ai nhiều hơn????,64,1,OFFENSIVE,2,2,2,0.5423,0,0,0,1,1,0,1,1,
95,off_long,4087,"họ đang bận làm tượng đài, bận xây cầu nghìn tỷ,đường nghìn tỷ ở nơi khác. rồi từ từ sẽ có. kêu cái đéo gì. xây có tiền đút túi mà dại gì ko xây.",33,1,OFFENSIVE,1,2,1,0.9899,0,0,0,1,1,0,1,0,
96,off_long,1359,"Chửi vô tội vạ mà đéo biết báo từ đời nào rồi,và chỉ phạt các doanh nghiệp mua điện nhưng lại k sử dụng để tránh lãng phí thôi chứ dân dùng bằng nào thu bằng đấy,toàn những con bò",52,1,OFFENSIVE,2,2,2,0.9892,0,0,0,1,1,0,1,0,
97,off_long,622,"doanh nghiệp nó sai thì nó bị phạt, còn thằng này thích tống tiền doanh nghiệp thì nó cũng đéo đúng đâu mà gào mồm ăn vạ :)) tưởng ăn đc tiền của ngkhác dễ à",31,1,OFFENSIVE,2,2,2,0.9803,0,0,0,0,1,0,1,0,
98,off_long,6525,"Trâu bò chứ ko phải người mà. 🤔 Sức chịu đựng của dân thủ đô thật đáng ngưỡng mộ. Hàng ngày họ hít thủy ngân, bụi mịn ô nhiễm, uống nước thải qua đường ống làm bằng vật liệu phế thải trung quốc (ống nước bể mấy chục lần), ăn thực phẩm chứa chất độc hại",42,1,OFFENSIVE,2,2,2,0.9727,0,0,0,1,1,0,1,1,
99,off_long,2431,"Yên tâm về Việt Nam thành phế vật ngay ae ạ . Nước ngoài nó chỉ có fuck you , oh shit ... còn về Việt Nam thì k đc đmm thì đcmm hoặc độu má m ... phế chắc chắn 🤣🤣🤣",31,1,OFFENSIVE,2,2,2,0.9909,0,1,0,1,1,0,1,0,
