text,text_cleaned,length,phobert_pred_name,phobert_conf,prob_clean,prob_off,prob_hate,lr_pred,bilstm_pred
"Các ông có làm công ăn lương k?hay hàng tháng cứ đều đặn có thêm nguồn thu nhập khác từ việc nhận hối lộ ,quà biếu?",các ông có làm_công_ăn lương không hay hàng tháng cứ đều_đặn có thêm nguồn thu_nhập khác từ việc nhận hối_lộ quà biếu,22,CLEAN,0.9872,0.9872,0.0046,0.0082,0,0
Con sâu gặm tiền,con sâu gặm tiền,4,HATE,0.9303,0.0366,0.0331,0.9303,1,2
Nhìn del hỉu j luôn,nhìn del_hỉu gì luôn,4,CLEAN,0.9877,0.9877,0.01,0.0023,1,0
Huhu toang,buồn toang,2,CLEAN,0.9921,0.9921,0.0055,0.0024,0,1
"Tôi vẫn chưa hiểu, tại sao Saigon, một thành phố ""Ngụy"" đói khổ, bị bọn Mỹ ""Ngụy"" đàn áp, bóc lột, cần chế độ CS ta giải phóng, cứu đói, mà lại nộp ngân sách nhiều thế ! (bằng 55 tỉnh thành khác).",tôi vẫn chưa hiểu tại_sao saigon một thành_phố ngụy đói_khổ bị bọn mỹ_ngụy đàn_áp bóc_lột cần chế_độ có ta giải_phóng cứu đói mà_lại nộp ngân_sách nhiều thế bằng 55 tỉnh_thành khác,31,HATE,0.9704,0.0242,0.0053,0.9704,2,2
trời,trời,1,CLEAN,0.9943,0.9943,0.0033,0.0024,0,0
Ờ face dành cho con người k dành cho thú vật ok,ờ face dành cho con_người không dành cho thú_vật đồng_ý,10,CLEAN,0.9173,0.9173,0.0614,0.0213,0,0
Đợi cl thêm câu địt chị m độ said :v,đợi cl thêm câu địt chị mày độ said vậy,10,HATE,0.8054,0.0077,0.187,0.8054,1,1
"Đâu chỉ có HK, Vietnam cũng cần tẩy chay nhỉ, vì có hẳn cả 2 sao ủng hộ đường lưỡi bò",đâu chỉ có hk vietnam cũng cần tẩy_chay nhỉ vì có hẳn cả 2 sao ủng_hộ đường lưỡi bò,19,CLEAN,0.9935,0.9935,0.002,0.0045,0,1
học putin chỉnh đồng hồ à?,học putin_chỉnh đồng_hồ à,4,CLEAN,0.9962,0.9962,0.0019,0.0019,0,0
Nguyễn Ngọc Sơn dm chac may lam pr cho cai page nay chac,nguyễn_ngọc sơn_dm chac may lam_pr cho cai_page nay chac,9,CLEAN,0.486,0.486,0.0384,0.4756,0,0
Mỹ Châu nhìn bếck vđ,mỹ_châu nhìn bếck vđ,4,CLEAN,0.9585,0.9585,0.0229,0.0186,0,0
Dừa cái lone lắm nghe 🙃🙃🙃,dừa cái lone lắm nghe,5,CLEAN,0.9652,0.9652,0.0311,0.0038,1,1
Trym to,trym to,2,CLEAN,0.9963,0.9963,0.0019,0.0018,1,0
20-10 vui vẻ con bóng sadec:)),20 10 vui_vẻ con bóng sadec,6,CLEAN,0.9914,0.9914,0.0024,0.0062,0,0
Tối qua xem đoạn này mà đéo dám cười,tối_qua xem đoạn này mà đéo dám cười,8,CLEAN,0.9846,0.9846,0.0134,0.0019,0,1
Huyền Khánh Phùng nếu e không tiện thì tôi sẽ book vé vào Hà Nội làm người yêu em ??? Và tối nay chúng ta sẽ địt,huyền_khánh phùng nếu em không tiện thì tôi sẽ book vé vào hà_nội làm người_yêu em và tối nay chúng_ta sẽ địt,22,CLEAN,0.9964,0.9964,0.0019,0.0018,0,0
Mình đang tìm một con bò đặc điểm nhận dạng nó kêu cực kì thuyết phục nha có hậu tạ :;),mình đang tìm một con bò đặc_điểm nhận_dạng nó kêu cực_kì thuyết_phục_nha có_hậu tạ,14,HATE,0.9909,0.0053,0.0039,0.9909,2,2
Ôi cát mẹt của bả,ôi cát mẹt của bả,5,CLEAN,0.9911,0.9911,0.0041,0.0048,0,0
Nghiệp Quật,nghiệp quật,2,CLEAN,0.8251,0.8251,0.1668,0.0081,1,1
"đầu còn lắc được là chưa kẹt nha, mấy anh nói khi nào không nhúc nhích được mới là Kẹc",đầu còn lắc được là chưa kẹt nha mấy anh nói khi nào không nhúc_nhích được mới là kẹc,19,CLEAN,0.986,0.986,0.0045,0.0096,0,0
nhin cai mac hok bt la trông hay mai ma sao lôn va nô wa z troi,nhin cai_mac không bình_thường la_trông hay mai_ma sao lôn va_nô quá vậy troi,13,HATE,0.9896,0.0066,0.0038,0.9896,0,0
"NO RECORDING, FILMING, PHOTO TAKING mà nó ghi là TALKING. Cấm nói luôn à.",no recording filming photo taking mà nó ghi là talking cấm nói luôn à,14,CLEAN,0.9948,0.9948,0.0032,0.002,0,0
Wtf,wtf,1,CLEAN,0.9954,0.9954,0.0027,0.0019,0,0
Thằng hùng vs bà  4 Nha đụ nín thở nhe a tuân.,thằng hùng vs bà 4 nha đụ nín thở nhe anh tuân,12,HATE,0.9802,0.0145,0.0053,0.9802,2,2
"Chưa thử loz xách tay bao h,có thì ới 😂",chưa thử loz xách tay bao_giờ có thì ới,9,CLEAN,0.9956,0.9956,0.0024,0.002,1,1
Moi tới lỗ mũi mà không hung dữ sao được,moi tới lỗ mũi mà không hung_dữ sao được,9,CLEAN,0.9396,0.9396,0.0526,0.0078,0,1
Võ Xuân Hoan điên hả m,võ xuân hoan_điên hả mày,5,CLEAN,0.7181,0.7181,0.02,0.2619,0,0
Manh thi song yeu thi chet,manh thi song yeu thi chet,6,CLEAN,0.9962,0.9962,0.0019,0.0019,1,0
"Boxit nữa, đừng quên bùn đỏ",boxit nữa đừng quên bùn đỏ,6,CLEAN,0.9958,0.9958,0.0018,0.0024,0,0
Anh em yếu sly ib,anh_em yếu sly ib,4,CLEAN,0.9965,0.9965,0.0014,0.0021,0,0
virus corona tuổi lìn :))),virus corona tuổi lìn,4,CLEAN,0.9844,0.9844,0.008,0.0076,0,0
Tại sao những đứa như này lại tồn tại trong khi những người tốt thì lại bị tan nạn & mất mạng vì lũ lụt mà méo do thiên tai gây ra nhể ???,tại_sao những đứa như này lại tồn_tại trong khi những người tốt thì lại bị tan nạn mất_mạng vì lũ_lụt mà méo do thiên_tai gây ra nhể,27,HATE,0.9793,0.0143,0.0064,0.9793,2,2
Like và cm tụi nó ăn được hay sao mà ham hố vậy trời. Lũ điên,like và cm tụi nó ăn được hay sao mà ham hố vậy trời lũ điên,16,HATE,0.9905,0.0048,0.0047,0.9905,0,2
Nó làm cái gì đấy chú.ỉa bậy à,nó làm cái gì đấy chú ỉa bậy à,9,HATE,0.4703,0.4662,0.0634,0.4703,2,1
Yêu đương đ gì tầm này em còn phải đi cà khịa đã 😒,yêu đương đ gì tầm này em còn phải đi cà_khịa đã,12,CLEAN,0.9567,0.9567,0.0405,0.0028,0,0
Bao nhiêu tiền đem cho con đi định cư bên mẽo cả rồi,bao_nhiêu tiền đem cho con đi định_cư bên mẽo cả rồi,11,CLEAN,0.8873,0.8873,0.0914,0.0213,0,1
Sao không đền bằng rau muống?,sao không đền bằng rau_muống,5,CLEAN,0.9953,0.9953,0.0023,0.0025,0,0
Yen than muon ma muon luot qua zao than.dung la het thuoc chua,yen than muon ma muon luot qua zao than_dung la_het thuoc chua,12,CLEAN,0.995,0.995,0.0026,0.0024,0,0
Miện giống lôm trâu,miện giống lôm trâu,4,CLEAN,0.991,0.991,0.0046,0.0044,1,1
giong ca lozz trong lang fo,giong ca lozz trong lang_fo,5,HATE,0.9891,0.0059,0.0049,0.9891,0,1
Bút hình con c,bu tao hi_nh con c,5,CLEAN,0.5249,0.5249,0.4232,0.052,1,0
Chấp gì thằng thiểu năng đó Trần Ngọc Giàu ơi,chấp gì thằng thiểu_năng đó trần_ngọc giàu ơi,8,HATE,0.9897,0.0067,0.0036,0.9897,0,2
Uiss cùi vl :)) lương mấy chục ngìn đồng còn đc ăn pizza loại kẹo dẻo đây :)),uiss cùi vãi lương mấy chục ngìn đồng còn được ăn pizza loại kẹo dẻo đây,16,CLEAN,0.9948,0.9948,0.0032,0.0021,0,0
Tốt nhất là giết bỏ đi vài thành phần óc chó đó là vừa,tốt nhất là giết bỏ đi vài thành_phần óc chó đó là vừa,13,HATE,0.9904,0.0049,0.0046,0.9904,1,2
Lồn ba rọi,lồn ba rọi,3,HATE,0.9562,0.0044,0.0394,0.9562,2,2
Chữi nhiều quá tắt thở bây giờ,chữi nhiều quá tắt_thở bây_giờ,5,CLEAN,0.9959,0.9959,0.0016,0.0025,0,0
dm éo học thì làm cc gì biết chữ,dm em o ho c thi_la mày cc gi biê tao chư,12,HATE,0.9904,0.0057,0.004,0.9904,1,2
Đánh chết mẹ thằng này đi,đánh chết mẹ thằng này đi,6,HATE,0.9829,0.01,0.0072,0.9829,2,1
Cho ra những tấm ảnh đầy tính ấu dâm,cho ra những tấm ảnh đầy tính ấu_dâm,8,CLEAN,0.9753,0.9753,0.02,0.0047,0,0
Hèn gì chúng nó chỉ dám nói là ko có liên quan. Cái địt mẹ mấy thằng lớn,hèn gì chúng_nó chỉ dám nói là không có liên_quan cái địt mẹ mấy thằng lớn,16,HATE,0.9903,0.0054,0.0043,0.9903,2,2
"nó ra cái luật trưng dụng lấy đồ của dân mà ko có quyền đòi,chó đẻ thiệt",nó ra cái luật trưng_dụng lấy đồ của dân mà không có quyền đòi chó đẻ thiệt,17,HATE,0.7265,0.01,0.2635,0.7265,2,2
Chỉ có óc chó mới nghe giặc tàu,chỉ có óc chó mới nghe giặc tàu,8,HATE,0.9906,0.0051,0.0043,0.9906,2,2
Rank Việt Nam mà yasuo tt6 tt5 thì del phải người Việt Nam r,rank việt_nam mà yasuo tt6 tt5 thì del phải người việt_nam rồi,12,CLEAN,0.9964,0.9964,0.0014,0.0022,0,0
@Chuyên gia dạy chó chuan men kkkk,chuyên_gia dạy chó chuan men không,6,HATE,0.5336,0.2273,0.2391,0.5336,2,1
Đụma chất vãi lòn há há há,đụma chất vãi lòn há há há,7,CLEAN,0.9328,0.9328,0.0635,0.0038,0,0
Mẹ làm cx nói k làm cx nói:)) mai đại hội r đấy sủa đi:)),mẹ làm cũng nói không làm cũng nói mai đại_hội rồi đấy sủa đi,14,HATE,0.9856,0.005,0.0095,0.9856,2,1
Trần Diên Dưỡng cái ghế vl đấy,trần diên_dưỡng cái ghế vãi đấy,6,CLEAN,0.5913,0.5913,0.3997,0.009,0,1
best xạo lol ý,best xạo lol_ý,3,HATE,0.9895,0.0043,0.0062,0.9895,2,2
Võ Công Hoàng cái lon má,võ_công_hoàng cái lon má,4,HATE,0.9759,0.0052,0.0188,0.9759,1,1
Bố đéo rảnh tiếp chuyện vs acc clone,bố đéo rảnh tiếp_chuyện vs acc clone,7,HATE,0.9889,0.0044,0.0067,0.9889,1,1
bán linh hồn và não cho quỷ r thất vọng làm j =)),bán linh_hồn và não cho quỷ rồi thất_vọng làm gì,10,HATE,0.7518,0.0077,0.2405,0.7518,2,2
Nguyễn Công phục cái máu lol,nguyễn_công_phục cái máu lol,4,HATE,0.9728,0.0139,0.0133,0.9728,2,1
Deo hieu luon :))),deo hieu luon,3,CLEAN,0.9319,0.9319,0.0636,0.0045,1,1
Bài nào cũng cmt nhưng vẫn đ đc fan cứng 🤦‍♀️,bài nào cũng comment nhưng vẫn đ được fan cứng,10,CLEAN,0.9965,0.9965,0.0017,0.0018,0,0
Oke Hasagi chết mọe đi 💀,oke hasagi chết mọe đi,5,CLEAN,0.9958,0.9958,0.0018,0.0023,1,1
Hot link em gái ngon ngọt nước cho ae nè,hot link em_gái ngon ngọt nước cho ae nè,9,CLEAN,0.9895,0.9895,0.0081,0.0024,0,0
"Cuốn dell nhặt đc mồm, toàn danh hài đất Việt :))",cuốn dell nhặt được mồm toàn_danh hài đất việt,9,CLEAN,0.9957,0.9957,0.0024,0.0019,0,1
nghe mắc i* quá abeeee,nghe mắc i quá abee,5,CLEAN,0.8574,0.8574,0.1142,0.0284,2,0
Xao lon,xao lon,2,HATE,0.9885,0.005,0.0066,0.9885,2,1
"Loạn rồi, loạn thật rồi ông giáo ạ :))",loạn rồi loạn thật rồi ông giáo ạ,8,CLEAN,0.9861,0.9861,0.0041,0.0097,0,0
Dkm cá chết là do k biết bơi nhá đỏ đo cái loz què̉,dkm cá chê tao là do không biê tao bơi nhá_đo đo cái loz què,15,HATE,0.9905,0.0042,0.0053,0.9905,1,2
Mịa mất tiền mua mạng hôm qua thì lag vl hôm nay mượt đc 1 chút thì đọc đc tin này chắc tháng sau t cắt mẹ nó mạng đi,mịa mất tiền mua mạng hôm_qua thì lag_vãi hôm_nay mượt được 1 chút thì đọc được tin này chắc tháng sau tao cắt mẹ nó mạng đi,27,CLEAN,0.9489,0.9489,0.026,0.0251,1,1
Các hãng nổi tiếng calvin gucci chanel đều bên nước ngoài mắc gì đem về vn cho nhỏ đó tri ân tri nghĩa....có ăn qq quá ai nói Gì cũng tin biết cuộc đời sài chai nước hoa chính hãng chưa nữa,các hãng nổi_tiếng calvin gucci chanel đều bên nước_ngoài mắc gì đem về vn cho nhỏ đó tri_ân_tri_nghĩa có ăn_qq quá ai nói gì cũng tin biết cuộc_đời sài chai nước_hoa chính hãng chưa nữa,35,CLEAN,0.9959,0.9959,0.0022,0.0019,1,0
"ông khác với các vị tù khác ở chỗ là ông chẳng khổ như họ ở tù, quan chức ở tù cũng sướng.. có trà bưng nước rót, ở phòng riêng, người nhà vô chơi thoải mái..",ông khác với các vị tù khác ở chỗ là ông chẳng khổ như họ ở tù quan_chức ở tù cũng sướng có trà bưng nước rót ở phòng riêng người_nhà vô_chơi thoải_mái,33,HATE,0.9501,0.0428,0.0072,0.9501,2,2
"Khổ, làm ăn bố láo bị tẩy chay thì có mấy thành phần bợ đít chạy theo: ""người Việt dùng hàng Việt là yêu nước"", ""DN Việt đóng ngàn tỷ tiền thuế bị dập"".",khổ làm_ăn bố_láo bị tẩy_chay thì có mấy thành_phần_bợ đít chạy theo người việt dùng hàng việt là yêu nước dn việt đóng ngàn tỷ tiền thuế bị dập,29,HATE,0.9887,0.0072,0.004,0.9887,2,2
Lợi Nguyễn lâu thì lâu tại nó chém gió nói 10 năm cho ng ta chửi xl,lợi nguyễn_lâu thì lâu tại nó chém_gió nói 10 năm cho ng ta chửi xl,15,HATE,0.9876,0.0071,0.0053,0.9876,2,1
Chết đi ông ơii,chết đi ông ơii,4,CLEAN,0.8843,0.8843,0.023,0.0928,1,0
ý thức nd đã kém rồi nói gì đến mấy anh bụng phệ,ý_thức nd đã kém rồi nói_gì đến mấy anh bụng phệ,11,HATE,0.9625,0.0281,0.0094,0.9625,2,0
"lấy về tế ông nội , tổ tiên đó mà :V",lấy về tế ông nội tổ_tiên đó mà vậy,9,HATE,0.356,0.3532,0.2908,0.356,0,0
Trung quốc thì nói mẹ Trung quốc đi bày đặt china chi nủng. Đang nói tiếng Việt hay tiếng anh,trung_quốc thì nói mẹ trung_quốc đi bày_đặt china chi_nủng đang nói tiếng việt hay tiếng anh,16,CLEAN,0.951,0.951,0.0112,0.0378,0,2
Ghẹo nó chi để nó chửi trời,ghẹo nó chi để nó chửi trời,7,CLEAN,0.9948,0.9948,0.0026,0.0026,0,1
Phạm Văn Lộc phát biểu hay nhưng mà là “yên nghỉ” nha dm😞,phạm_văn_lộc phát_biểu hay nhưng_mà là yên_nghỉ nha dm,8,CLEAN,0.882,0.882,0.0882,0.0298,1,1
hết mie nó rừng vàng biển bạc rồi.,hết mie nó rừng vàng biển bạc rồi,8,CLEAN,0.9956,0.9956,0.0021,0.0023,0,0
muon tan 1 phat vao mat,muon tan 1 phat vao mat,6,CLEAN,0.995,0.995,0.0028,0.0022,0,0
"Nói đạo nhái mà đến giờ vẫn đéo lòi ra một đơn kiện. Chỉ có các tHiên tÀi âM nHạC các bạn phán đạo thôi, lmao.",nói đạo_nhái mà đến giờ vẫn đéo lòi ra một đơn kiện chỉ có các thiên_tài_âm_nhạc các bạn phán_đạo thôi lmao,21,HATE,0.7867,0.0391,0.1742,0.7867,2,2
Má 🙂 Kiều Oanh Nguyễn Thị,má kiều_oanh nguyễn_thị,3,CLEAN,0.9951,0.9951,0.0022,0.0027,0,0
Thoi bot xam lom di nhin cach an mac beo qua dzo,thoi bot xam lom di_nhin cach an_mac beo qua dzo,10,HATE,0.9908,0.0046,0.0046,0.9908,2,1
Mắc ói,mắc ói,2,CLEAN,0.994,0.994,0.0041,0.0018,1,1
"Đấu đá nhau khốc liệt,giã dối hơn cả XH Đen.vì có quyền điều khiển đc dư luận qua báo chí",đấu đá nhau khốc_liệt giã_dối hơn cả xh đen vì có quyền điều_khiển được dư_luận qua báo_chí,17,HATE,0.7487,0.0952,0.1561,0.7487,2,2
Tây nó lại bảo mới trốn viện,tây nó lại bảo mới trốn_viện,6,CLEAN,0.9961,0.9961,0.0014,0.0025,0,0
"lông dương lông là lông , dương là dương v.. Có nghĩa là lông cu",lông dương_lông là lông_dương là dương_vậy có nghĩa là lông cu,11,CLEAN,0.9179,0.9179,0.0589,0.0232,0,0
Đậu má thầy ok chưa ?,đậu má thầy đồng_ý chưa,5,CLEAN,0.9965,0.9965,0.0018,0.0017,0,0
Bạn trẻ ở trên là acc của ad hả :)) nó chửi ad chứ có chửi m đâu kệ mẹ chúg nó đi,bạn trẻ ở trên là acc của admin hả nó chửi_admin chứ có chửi mày đâu kệ mẹ chúg nó đi,21,HATE,0.9867,0.0097,0.0035,0.9867,2,2
Cho cục gạch vào cái kính,cho cục gạch vào cái kính,6,CLEAN,0.9912,0.9912,0.0033,0.0054,0,0
Idol. Viết vậy là chết con đĩ mẹ người ta rồi,idol viết vậy là chết con đĩ mẹ người ta rồi,11,HATE,0.9885,0.0058,0.0057,0.9885,2,2
Nhìn như con bóng lải cái 🤣,nhìn như con bóng lải cái,6,HATE,0.9883,0.0059,0.0058,0.9883,1,2
K phải khen chứ phim dỡ vkl,không phải khen chứ phim dỡ vkl,7,CLEAN,0.9928,0.9928,0.005,0.0023,0,0
Tóc đẹp vai lon :)),tóc đẹp vai lon,4,CLEAN,0.9928,0.9928,0.005,0.0022,0,0
"Sao tụi bây toàn chửi nhau mà ko thấy làm gì hết,cao lông nó chưa hay nói cho vui",sao tụi bây_toàn chửi nhau mà không thấy làm gì hết cao_lông nó chưa hay nói cho vui,18,CLEAN,0.8588,0.8588,0.0186,0.1227,2,1
Bài mai dù,bài mai dù,3,CLEAN,0.9965,0.9965,0.0018,0.0017,0,0
Nhảy ổn như mạng nhà t😕,nhảy ổn như mạng nhà tao,6,CLEAN,0.9962,0.9962,0.0017,0.0021,0,0
Củ kỉ xấu xí để mầm chi,củ_kỉ xấu_xí để mầm chi,5,CLEAN,0.9919,0.9919,0.0047,0.0034,0,0
Nó lại dễ vl anh ạ,nó lại dễ vãi anh ạ,6,CLEAN,0.99,0.99,0.0076,0.0024,1,1
có học thức chỉ tiếc văn hoá quá kém ...ý thức thua cả một con chó,có học_thức chỉ tiếc_văn_hóa quá kém ý_thức thua cả một con chó,12,HATE,0.9893,0.0042,0.0064,0.9893,2,2
Em tự hào vì làm chó cho Mể,em tư ha o vi_la mày cho cho mê,9,CLEAN,0.9959,0.9959,0.0018,0.0024,0,0
Cai mieng hay la cai ong cong vay,cai_mieng hay la cai_ong cong vay,6,CLEAN,0.8911,0.8911,0.0381,0.0708,2,0
🙂🙂gửi mấy con bò,gửi mấy con bò,4,HATE,0.9906,0.0051,0.0043,0.9906,2,2
Có đuỹ nào thả thính hôn,có đuỹ nào thả thính_hôn,5,CLEAN,0.996,0.996,0.0018,0.0022,0,0
"m lảm nhảm cái đéo gì thế, sai lè còn cãi, ở Việt Nam! cái hay nhất nhà chối tội đổ lỗi thanh minh, từ thằng quan tới thằng dân, sai lè thế kia mà còn lái đi đâu đâu để cãi, chúng mày vác cái đth sương chúng m, còn dân Việt Nam! bên đó với nhưng ng sau này sẽ qua thì sao?",mày lảm nhảm cái đéo gì thế sai lè còn cãi ở việt_nam cái hay nhất nhà chối_tội đổ lỗi thanh_minh từ thằng quan tới thằng dân sai lè thế kia mà_còn lái đi đâu_đâu để cãi chúng_mày vác cái đth sương chúng_mày còn dân việt_nam bên đó với nhưng ng sau_này sẽ qua thì sao,56,HATE,0.9904,0.0056,0.004,0.9904,2,2
"Đào đất đóng gạch đi,đông về khối đứa cần ủ ấm.",đào đất đóng gạch đi đông về khối đứa cần ủ ấm,12,CLEAN,0.9961,0.9961,0.0018,0.0021,0,0
ôi a dg nhai bcs rùi đấy,ôi anh đang nhai bcs rồi đấy,7,CLEAN,0.9936,0.9936,0.0029,0.0036,0,0
Thuyết cái lồn,thuyết cái lồn,3,HATE,0.6555,0.0045,0.3401,0.6555,1,1
Trùm cuối cmn hú vía :)),trùm cuối cmn hú_vía,4,CLEAN,0.9,0.9,0.096,0.004,1,1
Top1 ca sĩ nhưng k biết hát :)),top1 ca_sĩ nhưng không biết hát,6,CLEAN,0.9958,0.9958,0.0018,0.0023,0,0
VN phải có cái riêng biệt cái tự chủ độc lập toàn đi sau làm sau,vn phải có cái riêng_biệt cái tự_chủ độc_lập toàn đi sau làm sau,13,CLEAN,0.9816,0.9816,0.0129,0.0055,1,1
Mua sắt vụn về làm phương tiện chiến đấu! Đắng lòng,mua sắt vụn về làm phương_tiện chiến_đấu đắng lòng,9,CLEAN,0.9903,0.9903,0.0068,0.0029,0,0
Trend như con cật cũng đi đú,trend như con cật cũng đi đú,7,CLEAN,0.9642,0.9642,0.031,0.0048,1,1
Động cơ của các vị là gì?,động_cơ của các vị là gì,6,CLEAN,0.996,0.996,0.0014,0.0026,0,0
Võ Công Hoàng cái lon má,võ_công_hoàng cái lon má,4,HATE,0.9759,0.0052,0.0188,0.9759,1,1
Đùa :)) nó rời khỏi eu chứ có phải nó bê cái nước nó ra khỏi châu âu đi sang châu khác k mà cứ cãi thế nhỉ ngu đ chịu được =))),đùa nó rời khỏi eu chứ có phải nó bê cái nước nó ra khỏi châu_âu đi sang châu khác không mà cứ cãi_thế nhỉ ngu đ chịu được,29,HATE,0.9854,0.0098,0.0048,0.9854,1,2
"Cần xử tử con thú máu lạnh này vì nếu để nó sống , xã hội sẽ nguy hiểm hơn !",cần xử_tử con thú máu lạnh này vì nếu để nó sống xã_hội sẽ nguy_hiểm hơn,16,HATE,0.9876,0.0081,0.0043,0.9876,0,1
"Trâu bò chứ ko phải người mà. 🤔 Sức chịu đựng của dân thủ đô thật đáng ngưỡng mộ. Hàng ngày họ hít thủy ngân, bụi mịn ô nhiễm, uống nước thải qua đường ống làm bằng vật liệu phế thải trung quốc (ống nước bể mấy chục lần), ăn thực phẩm chứa chất độc hại",trâu_bò chứ không phải người mà sức chịu_đựng của dân thủ_đô thật đáng ngưỡng_mộ hàng ngày họ hít thủy ngân_bụi mịn ô_nhiễm uống nước_thải qua đường_ống làm bằng vật_liệu phế_thải trung_quốc ống nước bể mấy chục lần ăn thực_phẩm chứa chất độc_hại,42,HATE,0.9727,0.0167,0.0106,0.9727,2,2
Abe mua áo như này là chet con di me sela rồi =)),abe mua áo như này là chet con di_me sela rồi,11,HATE,0.9111,0.018,0.0708,0.9111,1,1
giong ca lozz trong lang fo,giong ca lozz trong lang_fo,5,HATE,0.9891,0.0059,0.0049,0.9891,0,1
Hội chứng tự hào bở ảo tưởng,hội_chứng tự_hào_bở ảo_tưởng,3,CLEAN,0.935,0.935,0.0606,0.0045,0,0
Khi bạn muốn bợ đít ai đó nhưng bạn không có não. Ngu như lợn nhưng vẫn làm báo Đảng đĩ.,khi bạn muốn_bợ đít ai đó nhưng bạn không có não_ngu như lợn nhưng vẫn làm báo đảng_đĩ,18,HATE,0.9906,0.0054,0.0041,0.9906,2,2
Tranh cho va bong sa ban gai cung kg gai trai chan ra trai hahahA,tranh cho va_bong sa_ban gai_cung không gai_trai chan ra trai hahaha,11,CLEAN,0.9343,0.9343,0.0457,0.0201,0,0
